Image	Positive
ael512	0
ael511	0
fcl088	0
adl325	0
adl324	0
acl247	0
acl246	0
fhl100	0
fhl070	0
acl201	0
gzl80	0
gzl79	0
adl366	0
adl365	0
fhl080	0
ael467	0
ael466	0
fdl028	0
adl329	0
adl328	0
ael481	0
ael480	0
gzl10	0
gzl09	0
nil052	0
nil051	0
ncl030	0
ncl031	0
fgl051	0
gzl08	0
gzl07	0
acl253	0
acl252	0
fcl090	0
nll046	0
nll045	0
ffl002	0
abl139	0
abl138	0
ndl012	0
ndl011	0
fal036	0
fll043	0
abl101	0
fcl014	0
nll016	0
acl299	0
acl298	0
ndl005	0
ndl006	0
ael475	0
ael474	0
fdl022	0
fgl020	0
gal033	0
gal032	0
ggl084	0
ggl083	0
fhl044	0
adl387bis	0
adl386	0
fml026	0
fll130	1
nal008	1
fgl006	1
nbl063	1
nbl062	1
ngl062	1
ngl061	1
nbl011	1
nbl010	1
gal186	1
gal185	1
gal184	1
nal035	1
nml022	1
nml023	1
nil066	1
nil065	1
ffl092	1
nll004	1
nll003	1
nil076	1
nil075	1
nml081	1
nml080	1
ngl006	1
nml020	1
fhl002	0
ffl084	0
ndl054	0
ndl053	0
acl207	0
acl206	0
ndl052	0
ndl051	0
fll077	0
acl261	0
acl260	0
nfl011	0
ggl014	0
ggl013	0
acl237	0
acl236	0
ggl006	0
ggl005	0
ael510	0
ael509	0
ngl072	0
ngl071	0
fcl024	0
aal004	0
aal003	0
adl348	0
adl347	0
abl151	0
abl150	0
nil045	0
nil044	0
acl279	0
acl278	0
fal100	0
gzl36	0
gzl35	0
nml008	0
nml007	0
abl171	0
abl170	0
fel052	0
ndl022	0
ndl023	0
adl340	0
adl339	0
fbl006	0
abl177	0
abl176	0
ael477	0
ael476	0
fal064	0
acl235	0
acl234	0
nbl081	0
nbl082	0
fcl098	0
nll061	0
adl344	0
adl343	0
gzl56	0
gzl55	0
fdl002	0
fll037	0
gal006	0
gal005	0
ggl024	0
ggl023	0
fal090	0
abl193	0
abl192	0
nfl036	0
acl233	0
acl232	0
ggl056	0
ggl055	0
newl020	0
newl019	0
newl018	0
newl017	0
fal094	1
fcl056	1
ffl068	1
nil082	1
nil081	1
nal052	1
nal051	1
nbl022	1
nbl023	1
nbl007	1
nbl008	1
nil088	1
nil087	1
fll108	1
fcl060	1
ggl058	1
ggl057	1
ngl019	1
ngl018	1
nal091	1
nal092	1
ngl064	1
ngl063	1
fcl100	1
nbl044	1
fdl052	1
fhl010	0
gal008	0
gal007	0
fgl023	0
nml016	0
nml015	0
nil058	0
nil057	0
ncl020	0
ncl019	0
ggl046	0
ggl045	0
ffl070	0
ggl016	0
ggl015	0
nel062	0
nel063	0
nel071	0
fgl090	0
nml087	0
nml086	0
ael446	0
ael445	0
fll039	0
fhl042	0
gzl54	0
gzl53	0
ffl008	0
gal045	0
gal044	0
ncl064	0
ncl065	0
nll027	0
ffl004	0
abl195	0
abl194	0
acl241	0
acl240	0
fal038	0
ndl036	0
fgl005	0
adl333	0
adl332	0
fel070	0
fbl012	0
acl271	0
acl270	0
ndl009	0
ndl010	0
ffl010	0
fgl010	0
ncl010	0
ncl009	0
acl245	0
acl244	0
abl191	0
abl190	0
nml030	0
nml029	0
gzl22	0
gzl21	0
fhl094	0
ncl035	0
ncl036	0
fbl080	0
abl112	0
abl111	0
nel009	0
abl183	0
abl182	0
acl203	0
acl202	0
acl263	0
acl262	0
acl209	0
acl208	0
aal018	0
aal017	0
newl006	0
newl005	0
ndl100	0
ndl099	0
gbl014	1
nil093	1
nil092	1
gdl034	1
gal262	1
gal261	1
gzl28	1
gzl27	1
nal082	1
nal081	1
nml094	1
nml093	1
nal098	1
nal099	1
fal078	1
ngl017	1
fhl046	1
nbl004	1
nbl003	1
newl047	1
newl046	1
gdl025	1
ngl027	1
ngl026	1
nbl048	1
fcl054	1
gzl72	0
gzl71	0
fhl004	0
nil041	0
nil040	0
fal070	0
fbl040	0
ndl058	0
ndl057	0
nml113	0
nml114	0
nml112	0
fal048	0
ggl032	0
ggl031	0
fhl058	0
fal012	0
ngl090	0
ngl089	0
gzl24	0
gzl23	0
abl127	0
abl126	0
aal056	0
aal055	0
fcl018	0
fel086	0
ael471	0
ael470	0
ndl035	0
abl121	0
abl120	0
ffl016	0
ael431	0
ael430	0
nil043	0
nil042	0
fgl014	0
acl259	0
acl258	0
ncl050	0
ncl049	0
fgl002	0
acl249	0
acl248	0
gzl86	0
gzl85	0
fhl090	0
fcl094	0
nml006	0
nml005	0
abl153	0
abl152	0
adl321	0
adl320	0
nhl015	0
nhl014	0
gzl34	0
gzl33	0
fbl090	0
adl391	0
adl390	0
nil006	0
nil005	0
fgl042	0
aal078	0
aal077	0
ncl100	0
ncl099	0
ncl071	0
ncl072	0
ggl042	0
ggl041	0
ggl008	0
ggl007	0
ael521	0
ael520	0
aal030	0
aal029	0
aal028	0
aal027	0
newl026	0
newl025	0
gal171	0
nml024	1
nml026	1
nll014	1
gzl26	1
gzl25	1
gcl058	1
gcl057	1
nal020	1
nal019	1
nbl001	1
nbl002	1
nal037	1
nal039	1
newl053	1
nbl034	1
nbl033	1
gal257	1
gal256	1
gzl16	1
gzl15	1
gzl50	1
gzl49	1
gzl04	1
gzl03	1
ffl094	1
fll118	1
nil096	1
nil095	1
fcl068	1
nfl038	0
ndl068	0
ndl067	0
nbl100	0
nbl099	0
ael465	0
ael464	0
nil004	0
nil003	0
fdl032	0
gzl30	0
gzl29	0
ggl086	0
ggl085	0
nel061	0
nel060	0
nml108	0
ggl012	0
ggl011	0
ael444	0
ael443	0
nml089	0
nml088	0
fhl076	0
fal050	0
fgl008	0
fbl024	0
aal096	0
aal095	0
nml014	0
nml013	0
ael448	0
ael447	0
fhl092	0
fal072	0
fcl034	0
nll101	0
fgl055	0
ncl051	0
ncl052	0
gal232	0
gal231	0
nil002	0
nil001	0
fdl030	0
fhl082	0
fbl064	0
ngl096	0
ngl095	0
abl179	0
abl178	0
fcl010	0
fel100	0
ncl022	0
ncl021	0
acl223	0
acl222	0
fcl070	0
nil021	0
nil020	0
ngl053	0
ngl052	0
fbl004	0
gal049	0
gal048	0
ggl090	0
ggl089	0
fdl016	0
ggl002	0
ggl001	0
nfl042	0
nfl041	0
fgl035	0
gzl52	0
gzl51	0
acl231	0
acl230	0
newl022	0
newl021	0
newl024	0
newl023	0
fal006	1
fll136	1
fll128	1
fil010	1
nal075	1
nal076	1
nbl024	1
nbl025	1
gdl037	1
newl051	1
newl050	1
fll027	1
nll002	1
nll001	1
ngl008	1
newl043	1
newl042	1
fgl082	1
newl059	1
newl058	1
nal057	1
nal056	1
fil008	1
nhl017	1
nhl016	1
fhl014	0
nml071	0
nml070	0
nml092	0
nml091	0
adl395	0
adl394	0
nll100	0
nll099	0
acl295	0
acl294	0
nfl014	0
nfl013	0
nel021	0
nel022	0
ael459	0
ael458	0
gzl42	0
gzl41	0
aal086	0
aal085	0
abl155	0
abl154	0
aal012	0
aal011	0
ndl040	0
ndl041	0
nbl095	0
nbl096	0
ngl043	0
ngl042	0
adl311	0
adl310	0
fbl048	0
ncl056	0
ncl055	0
ael435	0
ael434	0
abl161	0
abl160	0
aal064	0
aal063	0
gal230	0
gal229	0
gzl62	0
gzl61	0
ggl078	0
ggl077	0
gzl32	0
gzl31	0
nil010	0
nil009	0
abl141	0
abl140	0
abl135	0
abl134	0
gal025	0
gal024	0
acl243	0
